Wall time,Step,Value
1592944887.299136,6,-200.0
1592944907.325522,19,-200.0
1592944916.881046,25,-200.0
1592944944.246048,41,-200.0
1592944948.175534,43,-200.0
1592944954.109698,46,-200.0
1592944957.896147,48,-200.0
1592944967.621903,54,-200.0
1592944972.518566,57,-200.0
1592944996.756671,72,-200.0
1592945001.722761,75,-200.0
1592945009.596496,80,-200.0
1592945022.548673,88,-200.0
1592945033.456106,95,-200.0
1592945046.376233,103,-200.0
1592945051.390193,106,-200.0
1592945053.332199,107,-200.0
1592945064.55167,114,-200.0
1592945072.203579,119,-200.0
1592945086.275613,127,-200.0
1592945106.986677,140,-200.0
1592945125.392297,151,-199.66000366210938
1592945134.984556,156,-199.19000244140625
1592945140.624889,159,-198.94000244140625
1592945156.637154,168,-197.47000122070312
1592945158.440443,169,-197.47000122070312
1592945175.728857,179,-196.60000610351562
1592945182.95808,184,-195.66000366210938
1592945185.643608,186,-195.66000366210938
1592945187.038384,187,-195.1300048828125
1592945194.564797,191,-195.1300048828125
1592945207.567015,199,-194.5399932861328
1592945220.095964,207,-193.24000549316406
1592945220.783089,208,-193.24000549316406
1592945227.216883,213,-190.22000122070312
1592945239.108706,224,-185.6699981689453
1592945245.898761,230,-183.8300018310547
1592945250.935807,235,-180.9499969482422
1592945254.055545,238,-179.67999267578125
1592945267.113204,250,-175.89999389648438
1592945274.052054,256,-174.6699981689453
1592945279.688847,261,-174.6199951171875
1592945287.451116,268,-173.0
1592945292.049353,272,-172.05999755859375
1592945294.455374,274,-172.05999755859375
1592945316.870218,293,-170.75
1592945322.439557,298,-170.07000732421875
1592945323.285034,299,-169.11000061035156
1592945328.398051,304,-168.0399932861328
1592945333.813252,309,-167.2899932861328
1592945336.388456,311,-167.0800018310547
1592945344.216426,319,-166.5
1592945345.41782,320,-166.3699951171875
1592945353.017311,327,-166.36000061035156
1592945357.236774,331,-164.33999633789062
1592945367.716575,340,-163.52000427246094
1592945376.764777,348,-159.8000030517578
1592945393.175411,364,-152.60000610351562
